recipe_slug	score_bound
falafel	2.715237248946386
spamburger	1.95396690764434
bacon-fried-rice	1.8524290747129788
chicken-fingers	2.7209394501908717
apple-crisp	2.7775330306796553
cranberry-apple-crisp	2.7895379283070962
bacon-chocolate-chip-cookies	1.8123071517980005
sujebi	2.363876864277209
pasta-primavera	2.1786825896623454
ramen	1.9541980812951272
brownies	2.7822515895133613
bacon-wrapped-scallops	1.782670036442173
bacon-egg-muffins	1.791038506476534
breakfast-burritos	1.8100932296265944
bolognese-sauce	2.2492896882816984
croissants	2.3743537431737574
bacon-souffle	1.6052482170871425
souffle	2.6545906049298926
chocolate-souffle	2.557596916512519
butter-croissants	2.172890382356668
pickled-green-beans	2.331818591068868
fried-oysters	2.27764209494112
peanut-butter-brownies	2.604878809779471
almond-chip-cookies	2.6776095839375555
guacamole	2.3844159381795564
brioche-bread	2.8088021730910255
brioche-bread-with-chocolate	2.710864898269314
asparagus-quiche	2.3121445704145227
asparagus-burger	2.375860899569096
ma-la-chicken	2.8016570338790547
cold-noodles-with-tomatoes	2.408444295094716
tamales	2.378210310787014
enchiladas	2.306741368652072
tacos	2.336306386150484
burritos	2.2897904646057268
peanut-butter-cupcakes	2.7867486179255803
pickled-asparagus	2.6187008610596454
chocolate-peanut-butter-cake	2.6752313172020084
udon	2.242238293537576
vegetable-lasagna	1.9837530910203411
maple-bacon-donuts	1.8108334124852823
maple-bacon-pancakes	1.734301877376565
spinach-and-ricotta-stuffed-shells	2.0729658308713956
quesadillas	2.3918989673157305
pico-de-gallo	2.2963756386075227
nachos	2.364319121301265
cold-soba-noodles-with-tomato-and-cucumber	2.6824427723928848
fajitas	2.784676801646255
loaded-nachos	2.708569414074221
lasagna	2.0975284049107423
chicken-nuggets	2.8343349048411
pain-au-chocolat	2.8535793298592447
nacho-dip	2.27882753173843
nacho-salad	2.7959045954924413
nacho-casserole	2.653334107905268
nacho-fries	2.845747287726967
tempura-udon	2.2905504346949535
peach-crisp	2.660073194611466
apple-pie	2.8406708484360275
blueberry-crisp	2.616817893651236
berry-crumble	2.479776669482349
strawberry-rhubarb-crisp	2.8444083133444567
peach-cobbler	2.6573581332833442
cranberry-sauce	1.8389974972765106
cherry-cobbler	2.62750539374937
apple-crumble	2.894787035876431
chocolate-croissants	2.5311456668359487
french-toast	2.5926238659734584
chocolate-babka	2.80992483460025
cinnamon-babka	2.559752476060937
blueberry-crumble	2.513157076545123
spam-musubi	2.806010357508449
taco-salad	2.3246643480884215
chiles-rellenos	2.2517664710550744
almond-croissants	2.6472066370606457
cranberry-relish	1.8389974972765109
ma-la-beef	2.3148072958064945
chocolate-cake	2.6534959455572786
spinach-quiche	2.1983676004146973
mushroom-quiche	2.3541731635855054
quiche-lorraine	1.8407708306246773
croissant-aux-amandes	2.779184530372138
danishes	1.9595359941728137
spinach-and-feta-quiche	2.2728909106597097
cold-sesame-noodles	2.279478290300232
soba-noodle-salad-with-peanut-dressing	2.3247556243630108
dan-dan-noodles	1.949269413931661
vanilla-souffle	2.756011106118266
bacon-wrapped-dates	1.7915296027806402
cherry-pie	2.706771982322234
berry-crisp	2.658380016888131
bacon-and-egg-breakfast-sandwich	1.7614557527108394
bacon-wrapped-shrimp-skewers	1.8315861464950862
bacon-wrapped-chicken	1.9058400247921008
bacon-wrapped-asparagus	1.8655041902365221
bacon-mac-and-cheese	1.8216604329689987
chicken-alfredo-lasagna	2.693802900278924
classic-beef-lasagna	2.2248458717123745
vegetarian-mushroom-lasagna	2.1212713880304763
spinach-and-ricotta-lasagna	2.217298219465228
