recipe_slug	rating
falafel	1.0
spamburger	0.0
bacon-fried-rice	0.0
chicken-fingers	1.0
apple-crisp	1.0
cranberry-apple-crisp	1.0
bacon-chocolate-chip-cookies	0.0
sujebi	0.5
pasta-primavera	0.5
ramen	0.0
brownies	1.0
bacon-wrapped-scallops	0.0
bacon-egg-muffins	0.0
breakfast-burritos	0.0
bolognese-sauce	0.5
croissants	0.5
bacon-souffle	0.0
souffle	1.0
chocolate-souffle	1.0
butter-croissants	0.5
pickled-green-beans	0.5
fried-oysters	0.5
peanut-butter-brownies	1.0
almond-chip-cookies	1.0
guacamole	0.5
brioche-bread	1.0
brioche-bread-with-chocolate	1.0
asparagus-quiche	0.5
asparagus-burger	0.5
ma-la-chicken	1.0
cold-noodles-with-tomatoes	0.5
tamales	0.5
enchiladas	0.5
tacos	0.5
burritos	0.5
peanut-butter-cupcakes	1.0
pickled-asparagus	1.0
chocolate-peanut-butter-cake	1.0
udon	0.5
vegetable-lasagna	0.5
maple-bacon-donuts	0.0
maple-bacon-pancakes	0.0
spinach-and-ricotta-stuffed-shells	0.5
quesadillas	0.5
pico-de-gallo	0.5
nachos	0.5
cold-soba-noodles-with-tomato-and-cucumber	1.0
fajitas	1.0
loaded-nachos	1.0
lasagna	0.5
chicken-nuggets	1.0
pain-au-chocolat	1.0
nacho-dip	0.5
nacho-salad	1.0
nacho-casserole	1.0
nacho-fries	1.0
tempura-udon	0.5
peach-crisp	1.0
apple-pie	1.0
blueberry-crisp	1.0
berry-crumble	1.0
strawberry-rhubarb-crisp	1.0
peach-cobbler	1.0
cranberry-sauce	0.0
cherry-cobbler	1.0
apple-crumble	1.0
chocolate-croissants	1.0
french-toast	1.0
chocolate-babka	1.0
cinnamon-babka	1.0
blueberry-crumble	1.0
spam-musubi	1.0
taco-salad	0.5
chiles-rellenos	0.5
almond-croissants	1.0
cranberry-relish	0.0
ma-la-beef	0.5
chocolate-cake	1.0
spinach-quiche	0.5
mushroom-quiche	0.5
quiche-lorraine	0.0
croissant-aux-amandes	1.0
danishes	0.0
spinach-and-feta-quiche	0.5
cold-sesame-noodles	0.5
soba-noodle-salad-with-peanut-dressing	0.5
dan-dan-noodles	0.0
vanilla-souffle	1.0
bacon-wrapped-dates	0.0
cherry-pie	1.0
berry-crisp	1.0
bacon-and-egg-breakfast-sandwich	0.0
bacon-wrapped-shrimp-skewers	0.0
bacon-wrapped-chicken	0.0
bacon-wrapped-asparagus	0.0
bacon-mac-and-cheese	0.0
chicken-alfredo-lasagna	1.0
classic-beef-lasagna	0.5
vegetarian-mushroom-lasagna	0.5
spinach-and-ricotta-lasagna	0.5
